STATION,NAME,DATE,AWND,PRCP,SNOW,TAVG
USW00014739,"BOSTON, MA US",11/24/18,10.51,0,0,35
USW00014739,"BOSTON, MA US",11/25/18,8.95,0.78,0,45
USW00014739,"BOSTON, MA US",11/26/18,13.42,0.87,0,45
USW00014739,"BOSTON, MA US",11/27/18,17,0.46,0,45
USW00014739,"BOSTON, MA US",11/28/18,15.21,0,0,40
USW00014739,"BOSTON, MA US",11/29/18,15.66,0,0,42
USW00014739,"BOSTON, MA US",11/30/18,6.71,0,0,38
USW00014739,"BOSTON, MA US",12/1/18,6.71,0,0,39
USW00014739,"BOSTON, MA US",12/2/18,8.05,0.75,0,44
USW00014739,"BOSTON, MA US",12/3/18,10.51,0,0,50
USW00014739,"BOSTON, MA US",12/4/18,15.66,0,0,40
USW00014739,"BOSTON, MA US",12/5/18,6.93,0,0,29
USW00014739,"BOSTON, MA US",12/6/18,10.96,0,0,35
USW00014739,"BOSTON, MA US",12/7/18,13.42,0,0,37
USW00014739,"BOSTON, MA US",12/8/18,10.51,0,0,26
USW00014739,"BOSTON, MA US",12/9/18,9.4,0,0,29
USW00014739,"BOSTON, MA US",12/10/18,8.95,0,0,33
USW00014739,"BOSTON, MA US",12/11/18,6.71,0,0,30
USW00014739,"BOSTON, MA US",12/12/18,12.3,0,0,34
USW00014739,"BOSTON, MA US",12/13/18,6.04,0,0,27
USW00014739,"BOSTON, MA US",12/14/18,5.82,0,0,36
USW00014739,"BOSTON, MA US",12/15/18,9.17,0,0,48
USW00014739,"BOSTON, MA US",12/16/18,17.9,0.54,0,44
USW00014739,"BOSTON, MA US",12/17/18,14.54,0.04,0,40
USW00014739,"BOSTON, MA US",12/18/18,20.8,0.02,0.1,33
USW00014739,"BOSTON, MA US",12/19/18,9.84,0,0,31
USW00014739,"BOSTON, MA US",12/20/18,8.05,0,0,39
USW00014739,"BOSTON, MA US",12/21/18,14.76,0.61,0,52
USW00014739,"BOSTON, MA US",12/22/18,17.22,0.02,0,52
USW00014739,"BOSTON, MA US",12/23/18,12.08,0,0,38
USW00014739,"BOSTON, MA US",12/24/18,7.61,0,0,35
USW00014739,"BOSTON, MA US",12/25/18,10.74,0,0,36
USW00014739,"BOSTON, MA US",12/26/18,10.51,0,0,32
USW00014739,"BOSTON, MA US",12/27/18,9.17,0,0,34
USW00014739,"BOSTON, MA US",12/28/18,11.41,0.33,0,41
USW00014739,"BOSTON, MA US",12/29/18,13.2,0,0,49
USW00014739,"BOSTON, MA US",12/30/18,6.26,0,0,32
USW00014739,"BOSTON, MA US",12/31/18,10.51,0.41,0,36
